;Classifier;Exp. Group;Ratio Men;Probability Men;Probability Women;Difference Probabilities;Informativeness Difference;Possible Accuracy;Mean Accuracy;SD Accuracy;Diff Acc;Possible Accuracy Men;Mean Accuracy Men;SD Accuracy Men;Diff Acc Men;Possible Accuracy Women;Mean Accuracy Women;SD Accuracy Women;Diff Acc Women;Expected Bias;Mean Bias;SD Bias;Diff Bias
1000;Tree;113;0.95;0.05;0.20;0.15;0.15;0.9256081818181818;0.9434981818181818;0.007862374741698805;-0.01788999999999996;0.9295779904306221;0.9487732057416269;0.007588565839768441;-0.019195215311004876;0.8501818181818181;0.8432727272727274;0.04275803679095807;0.006909090909090754;0.07939617224880391;0.10550047846889951;0.04212826626068183;0.026104306220095602
1001;Tree;114;0.95;0.05;0.35;0.30;0.30;0.923749090909091;0.9382163636363636;0.008238172813585978;-0.014467272727272662;0.9295952153110048;0.947575119617225;0.0076178118034457174;-0.017979904306220207;0.8126727272727273;0.7604000000000001;0.06308856930865907;0.05227272727272725;0.11692248803827743;0.18717511961722488;0.06262173683537443;0.07025263157894746
1002;Tree;115;0.95;0.05;0.50;0.45;0.45;0.9231836363636363;0.9365981818181817;0.007309723317334854;-0.013414545454545346;0.9295741626794258;0.9478124401913876;0.006774052723801819;-0.01823827751196172;0.8017636363636363;0.7235272727272727;0.06526333222822783;0.07823636363636366;0.12781052631578949;0.22428516746411484;0.0653937824970213;0.09647464114832535
1003;Tree;116;0.95;0.20;0.05;-0.15;-0.15;0.8546016888132487;0.8495418181818181;0.013294104736006465;0.005059870631430652;0.8503665071770335;0.8444708133971293;0.013493757434735628;0.0058956937799042874;0.9351521549213745;0.9458909090909091;0.030157855928722537;-0.010738754169534626;-0.08478564774434094;-0.1014200956937799;0.029636040718969175;-0.016634447949438955
1004;Tree;117;0.95;0.20;0.20;0.00;0.00;0.8503918181818182;0.8471581818181818;0.011196964702369886;0.003233636363636383;0.8503942583732057;0.8471177033492823;0.01186245320355259;0.003276555023923433;0.8503454545454545;0.8479272727272728;0.050883578874778575;0.002418181818181764;4.880382775118708e-05;-0.0008095693779904308;0.053854935289715765;-0.0008583732057416179
1005;Tree;118;0.95;0.20;0.35;0.15;0.15;0.8484736363636364;0.8412163636363637;0.012631764737262413;0.007257272727272723;0.850355980861244;0.8439655502392345;0.012721233846282737;0.006390430622009502;0.8127090909090909;0.7889818181818182;0.053483903204333584;0.023727272727272708;0.03764688995215304;0.05498373205741627;0.053744662552950434;0.017336842105263227
1006;Tree;119;0.95;0.20;0.50;0.30;0.30;0.8478754545454545;0.8397181818181818;0.015041128689155915;0.008157272727272735;0.8503071770334928;0.8446047846889952;0.01547873332857185;0.005702392344497542;0.8016727272727273;0.7468727272727272;0.06402443026020663;0.05480000000000007;0.048634449760765475;0.09773205741626793;0.06590782358281953;0.04909760765550246
1007;Tree;120;0.95;0.20;0.65;0.45;0.15;0.8484381818181819;0.8393290909090908;0.013324822047459271;0.009109090909091067;0.8503511961722489;0.8440918660287082;0.013280628687437675;0.006259330143540631;0.8120909090909091;0.7488363636363636;0.06440784315575873;0.06325454545454545;0.03826028708133977;0.0952555023923445;0.06446932747958069;0.056995215311004724
1008;Tree;121;0.95;0.35;0.05;-0.30;-0.30;0.8212027157746212;0.7953636363636364;0.016330002600467634;0.025839079410984844;0.8152057416267943;0.7880478468899521;0.016781471217880428;0.02715789473684216;0.9352613570180548;0.9343636363636363;0.03453904822027157;0.0008977206544185101;-0.12005561539126053;-0.14631578947368423;0.03569319412984233;-0.026260174082423704
1009;Tree;122;0.95;0.35;0.20;-0.15;-0.15;0.8169918181818182;0.7894236363636363;0.018571885283958024;0.02756818181818188;0.8152373205741626;0.78671004784689;0.019050775230067513;0.028527272727272623;0.8503272727272727;0.8409818181818182;0.05546080875865048;0.009345454545454546;-0.03508995215311006;-0.054271770334928235;0.05687762994375864;-0.019181818181818175
