;Classifier;Exp. Group;Ratio Men;Prob Men;Prob Women;Prob Diff;Informativeness Diff;Lower Bound Bias;Mean Bias;Upper Bound Bias;Width_Confidence_Intervall;SD Bias;Significant_Bias
19;SVM;20;0.50;0.50;0.65;0.15;-0.15;-0.01752570630775069;-0.013774545454545456;-0.01002338460134022;0.007502321706410473;0.0009643488385188147;Yes
20;SVM;21;0.50;0.50;0.80;0.30;-0.30;-0.06701705820206506;-0.0634109090909091;-0.05980475997975314;0.007212298222311932;0.0009270692041631421;Yes
21;SVM;22;0.50;0.50;0.95;0.45;-0.45;-0.15400530013562158;-0.15106181818181819;-0.1481183362280148;0.0058869639076068025;0.0007567106595618167;Yes
22;SVM;23;0.50;0.65;0.20;-0.45;-0.15;-0.04978324131823439;-0.04606545454545454;-0.042347667772674694;0.0074355735455597;0.0009557690263075216;Yes
23;SVM;24;0.50;0.65;0.35;-0.30;0.00;0.0004866301425488235;0.0037200000000000006;0.006953369857451178;0.006466739714902354;0.0008312350732361912;Yes
24;SVM;25;0.50;0.65;0.50;-0.15;0.15;0.012726205282545214;0.016519999999999996;0.02031379471745478;0.007587589434909564;0.0009753091569587684;Yes
25;SVM;26;0.50;0.65;0.65;0.00;0.00;-0.0026674978759265873;0.0006254545454545454;0.0039184069668356785;0.006585904842762265;0.0008465525652260987;No
26;SVM;27;0.50;0.65;0.80;0.15;-0.15;-0.05268676869337749;-0.049654545454545444;-0.0466223222157134;0.006064446477664083;0.0007795242787306437;Yes
27;SVM;28;0.50;0.65;0.95;0.30;-0.30;-0.140734934017946;-0.13819636363636364;-0.13565779325478128;0.005077140763164724;0.0006526159487096979;Yes
28;SVM;29;0.50;0.80;0.35;-0.45;0.15;0.05025390559387242;0.053505454545454544;0.05675700349703667;0.006503097903164249;0.0008359085567247822;Yes
29;SVM;30;0.50;0.80;0.50;-0.30;0.30;0.0635041611762205;0.06720363636363637;0.07090311155105224;0.007398950374831737;0.0009510614819583891;Yes
30;SVM;31;0.50;0.80;0.65;-0.15;0.15;0.04731663286365504;0.05021090909090909;0.05310518531816314;0.0057885524545081;0.0007440608460498753;Yes
31;SVM;32;0.50;0.80;0.80;0.00;0.00;-0.002909311728275237;-0.00024363636363636354;0.00242203900100251;0.005331350729277747;0.0006852921115236081;No
32;SVM;33;0.50;0.80;0.95;0.15;-0.15;-0.0913826074803407;-0.08906181818181817;-0.08674102888329564;0.0046415785970450535;0.0005966287642836636;Yes
33;SVM;34;0.50;0.95;0.50;-0.45;0.45;0.1513891272307043;0.15473454545454543;0.15807996367838656;0.006690836447682279;0.0008600404794063272;Yes
34;SVM;35;0.50;0.95;0.65;-0.30;0.30;0.13719037639445247;0.13976;0.14232962360554752;0.005139247211095053;0.0006605991148907704;Yes
35;SVM;36;0.50;0.95;0.80;-0.15;0.15;0.08801036657046629;0.09005818181818182;0.09210599706589734;0.004095630495431047;0.0005264525657299338;Yes
36;SVM;37;0.50;0.95;0.95;0.00;0.00;-0.00024018593891600892;0.0007818181818181819;0.0018038223025523728;0.0020440082414683817;0.00026273693007574587;No
37;SVM;38;0.65;0.05;0.05;0.00;0.00;0.0017694789856924434;0.002882317682317682;0.003995156378942921;0.0022256773932504774;0.0002860886926862544;Yes
38;SVM;39;0.65;0.05;0.20;0.15;0.15;0.09183919046035692;0.09452987012987014;0.09722054979938337;0.005381359339026445;0.0006917202209295125;Yes
39;SVM;40;0.65;0.05;0.35;0.30;0.30;0.1412638059094279;0.14463896103896104;0.1480141161684942;0.006750310259066298;0.0008676852463431354;Yes
40;SVM;41;0.65;0.05;0.50;0.45;0.45;0.1509761747853872;0.15458461538461538;0.15819305598384356;0.00721688119845635;0.0009276583001649908;Yes
41;SVM;42;0.65;0.20;0.05;-0.15;-0.15;-0.089360046882187;-0.08737062937062937;-0.08538121185907173;0.003978835023115277;0.0005114396693920268;Yes
42;SVM;43;0.65;0.20;0.20;0.00;0.00;-0.00035966582604163343;0.002662937062937063;0.00568553995191576;0.006045205777957393;0.0007770510781481384;No
43;SVM;44;0.65;0.20;0.35;0.15;0.15;0.05188324812224297;0.05580499500499501;0.05972674188774704;0.007843493765504068;0.0010082031134749066;Yes
44;SVM;45;0.65;0.20;0.50;0.30;0.30;0.06169076054355571;0.06554965034965035;0.06940854015574499;0.007717779612189277;0.000992043809398289;Yes
45;SVM;46;0.65;0.20;0.65;0.45;0.15;0.043927658587262684;0.04811308691308691;0.05229851523891114;0.008370856651648455;0.0010759903674254698;Yes
46;SVM;47;0.65;0.35;0.05;-0.30;-0.30;-0.13719262398081133;-0.1344751248751249;-0.13175762576943845;0.005434998211372896;0.0006986149644863716;Yes
47;SVM;48;0.65;0.35;0.20;-0.15;-0.15;-0.0492190246997077;-0.045382217782217786;-0.04154541086472787;0.007673613834979832;0.0009863667380034678;Yes
48;SVM;49;0.65;0.35;0.35;0.00;0.00;0.004074225844528448;0.008046753246753247;0.012019280648978045;0.007945054804449597;0.001021257774922202;Yes
49;SVM;50;0.65;0.35;0.50;0.15;0.15;0.013360224808758581;0.017517682317682314;0.021675139826606047;0.008314915017847466;0.001068799626786511;Yes
50;SVM;51;0.65;0.35;0.65;0.30;0.00;-0.004095865457575868;0.0002153846153846149;0.004526634688345097;0.008622500145920965;0.0011083366358099827;No
51;SVM;52;0.65;0.35;0.80;0.45;-0.15;-0.05017901809072185;-0.046388011988011985;-0.04259700588530212;0.007582012205419738;0.0009745922595780455;Yes
