;Exp. Group;Lower Bound Bias;Mean Bias;Upper Bound Bias;SD Bias;Lower Bound NO SEX;Mean NO SEX;Upper Bound NO SEX;SD NO SEX;Lower Bound NO SEX INF;Mean NO SEX INF;Upper Bound NO SEX INF;SD NO SEX INF
39;40;0.13563491809087122;0.1391012987012987;0.14256767931172618;0.0009609763749283788;0.13826127040337277;0.14196443556443555;0.14566760072549834;0.0010266195874550348;0.13915771788148815;0.14275484515484516;0.14635197242820217;0.0009972229584103113
40;41;0.14603482117720012;0.14961638361638363;0.15319794605556714;0.0009929079567987103;0.1508162786750251;0.1544831168831169;0.1581499550912087;0.0010165487534925866;0.15108913518303996;0.15484395604395604;0.15859877690487212;0.0010409399731161108
41;42;-0.09282791606999193;-0.09004595404595404;-0.08726399202191616;0.0007712366532994926;-0.0921960032228575;-0.08921398601398602;-0.08623196880511454;0.0008266974719207089;-0.09045478380537661;-0.08738941058941058;-0.08432403737344454;0.0008498060576557177
42;43;-0.0020604899716790007;0.0013870129870129872;0.004834515945704975;0.0009557429688571137;-0.002098121305587518;0.0013094905094905096;0.004717102324568538;0.0009446840428792294;-0.0024428982361341415;0.0009478521478521481;0.0043386025318384374;0.0009400095888167123
43;44;0.04473351428609794;0.04858261738261738;0.052431720479136815;0.001067077610950143;0.047185339809939955;0.05094865134865135;0.05471196288736274;0.0010432938233378352;0.047616006623127;0.05152887112887113;0.05544173563461527;0.0010847540333582173
44;45;0.05751807634649205;0.061652347652347665;0.06578661895820327;0.0011461341090243404;0.059588087105760495;0.06363116883116883;0.06767425055657716;0.0011208538405547278;0.06378918534415859;0.06790249750249751;0.07201580966083643;0.0011403236548746757
45;46;0.04264306194137967;0.046501498501498505;0.05035993506161734;0.0010696651046570634;0.04740211620035235;0.05127032967032967;0.05513854314030699;0.0010723755339058162;0.0536756064796945;0.05754565434565434;0.06141570221161418;0.0010728840791002369
46;47;-0.14334294520480495;-0.1405782217782218;-0.13781349835163864;0.0007664576383116221;-0.14103990799692165;-0.137781018981019;-0.13452212996511634;0.0009034539783009728;-0.13531478375083358;-0.13191568431568432;-0.12851658488053505;0.0009423241762271542
47;48;-0.05422828851129144;-0.050656943056943064;-0.04708559760259469;0.0009900755266206655;-0.05288749217167025;-0.04921598401598402;-0.045544475860297785;0.001017843391853105;-0.04958166686780478;-0.04584935064935065;-0.04211703443089651;0.0010347010651130272
48;49;-0.0065238935425199936;-0.0027220779220779217;0.0010797376983641498;0.00105396821747972;-0.0070407967670159;-0.002964235764235764;0.0011123252385443717;0.001130135220247193;-0.00744193990594887;-0.0032327672327672327;0.0009764054404144042;0.0011668988352732754
49;50;0.004688857053557144;0.009182017982017983;0.013675178910478822;0.0012456282175169603;0.0076715588571043564;0.012037162837162838;0.016402766817221318;0.0012102659109358871;0.007804446273570227;0.012177422577422577;0.01655039888127493;0.0012123097225626076
50;51;-0.008569608629675082;-0.004115884115884116;0.0003378403979068514;0.001234695354952583;-0.0057899124677764785;-0.0014117882117882122;0.0029663360442000537;0.0012137368769746175;-0.0016992568999882282;0.0025034965034965036;0.006706249906981236;0.00116511923654587
51;52;-0.054503773739137444;-0.05078481518481518;-0.04706585663049292;0.0010309979519533402;-0.049891449805522584;-0.04595844155844155;-0.04202543331136052;0.001090338434410194;-0.04017679620811088;-0.036090709290709296;-0.03200462237330771;0.0011327760666889433
52;53;-0.15754984282112613;-0.15473726273726274;-0.15192468265339934;0.0007797248245204975;-0.14907366308451606;-0.1461054945054945;-0.14313732592647296;0.0008228582495136633;-0.14046136314944815;-0.13728631368631367;-0.13411126422317918;0.000880211340359707
53;54;-0.06816219485452256;-0.06434845154845156;-0.06053470824238057;0.0010572749011319687;-0.06422949756684167;-0.060427572427572435;-0.0566256472883032;0.001053998579121253;-0.06091171869998953;-0.05681318681318681;-0.052714654926384094;0.0011362261556795222
54;55;-0.021989302876098876;-0.017993606393606393;-0.013997909911113908;0.0011077173434183801;-0.0215045522748166;-0.01735104895104895;-0.013197545627281298;0.0011514657551800085;-0.02129228965191321;-0.017136863136863138;-0.012981436621813067;0.0011519989168822505
55;56;-0.009197209209889309;-0.0051612387612387615;-0.0011252683125882144;0.001118882398371128;-0.009476539957173964;-0.00541938061938062;-0.0013622212815872772;0.0011247565432402607;-0.009663455169945906;-0.005700699300699301;-0.001737943431452696;0.0010985852962883795
56;57;-0.023078546000086103;-0.019214785214785216;-0.015351024429484326;0.0010711411268224786;-0.022780659689827815;-0.01891988011988012;-0.015059100549932427;0.001070314651647082;-0.020848161046083162;-0.01684355644355644;-0.01283895184102972;0.0011101869201498493
57;58;-0.06899722197376;-0.06521718281718283;-0.06143714366060567;0.0010479311806809613;-0.06560555702509431;-0.06192967032967033;-0.05825378363424636;0.0010190572439130882;-0.06094104108913981;-0.057114485514485516;-0.053287929939831225;0.001060826815593048
