;Classifier;Exp. Group;Ratio Men;Probability Men;Probability Women;Difference Probabilities;Informativeness Difference;Possible Accuracy;Mean Accuracy;SD Accuracy;Diff Acc;Possible Accuracy Men;Mean Accuracy Men;SD Accuracy Men;Diff Acc Men;Possible Accuracy Women;Mean Accuracy Women;SD Accuracy Women;Diff Acc Women;Expected Bias;Mean Bias;SD Bias;Lower Bound Bias;Upper Bound Bias;Significance Bias;Diff Bias
2196;SVM_noSexInf_FAIR;125;0.95;0.35;0.65;0.30;0.00;0.8150554545454546;0.8150090909090909;0.012937917793854455;4.6363636363677685e-05;0.8151961722488038;0.8149607655502392;0.013596253602465127;0.00023540669856458862;0.8123818181818182;0.8159272727272727;0.05366829734665913;-0.0035454545454545183;0.0028143540669856026;-0.000966507177033493;0.056613146434068895;-0.2252133129065824;0.22328029855251538;No;-0.0037808612440190957
2197;SVM_noSexInf_FAIR;126;0.95;0.35;0.80;0.45;-0.15;0.817320909090909;0.8169000000000001;0.012710128198969642;0.0004209090909089719;0.8152306220095694;0.8148344497607654;0.013422365276607512;0.0003961722488040609;0.8570363636363636;0.8561454545454545;0.04558121644491415;0.0008909090909090533;-0.04180574162679418;-0.041311004784689;0.048879422197766476;-0.23492423747297053;0.15230222790359255;No;0.0004947368421051798
2198;SVM_noSexInf_FAIR;127;0.95;0.50;0.05;-0.45;-0.45;0.8093602947059123;0.8112690909090908;0.011644567246090875;-0.00190879620317852;0.8027406698564593;0.8051885167464116;0.012046179650113275;-0.0024478468899522543;0.9352613570180548;0.9268000000000001;0.03327229383947879;0.008461357018054727;-0.13252068716159549;-0.12161148325358852;0.03482626125662881;-0.259559616049861;0.016336649542683976;No;0.010909203908006967
2199;SVM_noSexInf_FAIR;128;0.95;0.50;0.20;-0.30;-0.30;0.8051045454545455;0.8073090909090909;0.010426554174746944;-0.0022045454545454035;0.8027368421052632;0.8049473684210525;0.011152454253248935;-0.0022105263157893296;0.8500909090909091;0.8521818181818183;0.0487284923960026;-0.0020909090909091432;-0.047354066985645926;-0.04723444976076555;0.051945039918765194;-0.25299070972845233;0.15852181020692124;No;0.00011961722488037368
2200;SVM_noSexInf_FAIR;129;0.95;0.50;0.35;-0.15;-0.15;0.8032518181818182;0.8051090909090909;0.011300454924628455;-0.001857272727272652;0.8027645933014355;0.8046966507177032;0.011765837182535852;-0.001932057416267785;0.812509090909091;0.8129454545454545;0.055130716723781975;-0.0004363636363635681;-0.0097444976076555;-0.008248803827751196;0.05726810321838125;-0.2350899180531896;0.2185923103976872;No;0.0014956937799043037
2201;SVM_noSexInf_FAIR;130;0.95;0.50;0.50;0.00;0.00;0.80276;0.8053854545454545;0.011348614227075424;-0.0026254545454544864;0.8028133971291866;0.8059081339712919;0.01110557560250112;-0.0030947368421052612;0.8017454545454545;0.7954545454545454;0.056598100009244125;0.006290909090909125;0.0010679425837321066;0.010453588516746411;0.055921621907727696;-0.21105406251317366;0.23196123954666648;No;0.009385645933014304
2202;SVM_noSexInf_FAIR;131;0.95;0.50;0.65;0.15;-0.15;0.8032590909090909;0.8061218181818182;0.011059932622796465;-0.0028627272727272945;0.8027904306220096;0.8057416267942583;0.011115190031092204;-0.0029511961722487046;0.8121636363636363;0.8133454545454545;0.055791120387492996;-0.0011818181818181728;-0.0093732057416267;-0.00760382775119617;0.056322459396008835;-0.23069921117236183;0.2154915556699695;No;0.00176937799043053
2203;SVM_noSexInf_FAIR;132;0.95;0.50;0.80;0.30;-0.30;0.8055172727272727;0.8068290909090908;0.010705014277612494;-0.0013118181818181363;0.8027894736842105;0.8042526315789473;0.011168876177320047;-0.0014631578947368329;0.8573454545454545;0.8557818181818182;0.04701303578826635;0.0015636363636363226;-0.054555980861244024;-0.05152918660287081;0.049080074492425026;-0.2459372105891751;0.14287883738343346;No;0.003026794258373211
2204;SVM_noSexInf_FAIR;133;0.95;0.50;0.95;0.45;-0.45;0.8092248389721491;0.8121345454545454;0.010579910477544958;-0.0029097064823963015;0.8027846889952153;0.8057205741626795;0.011119980845638365;-0.002935885167464236;0.9316656053852451;0.934;0.0326988800686101;-0.002334394614754931;-0.12888091639002985;-0.12827942583732058;0.0352427991842445;-0.26787748105650244;0.011318629381861317;No;0.0006014905527092773
2205;SVM_noSexInf_FAIR;134;0.95;0.65;0.20;-0.45;-0.15;0.8168818181818182;0.8169181818181819;0.012605931337466264;-3.6363636363723195e-05;0.8151253588516746;0.8151636363636363;0.013162597846947462;-3.827751196172624e-05;0.8502545454545455;0.8502545454545456;0.050436426171447155;-1.1102230246251565e-16;-0.0351291866028709;-0.03509090909090909;0.05288984229189448;-0.2445895668507179;0.17440774866889971;No;3.827751196180951e-05
2206;SVM_noSexInf_FAIR;135;0.95;0.65;0.35;-0.30;0.00;0.8150381818181818;0.8139818181818181;0.013224819230625729;0.001056363636363633;0.8151665071770335;0.8143636363636363;0.01353299962300402;0.0008028708133972495;0.8126;0.8067272727272727;0.057543981609778624;0.005872727272727252;0.00256650717703355;0.0076363636363636364;0.05887625241023732;-0.22557469011946735;0.24084741739219462;No;0.005069856459330086
2207;SVM_noSexInf_FAIR;136;0.95;0.65;0.50;-0.15;0.15;0.8144509090909091;0.8139472727272727;0.013420037143019353;0.0005036363636363728;0.8151368421052632;0.8145684210526315;0.013447876971931212;0.0005684210526316624;0.8014181818181818;0.8021454545454546;0.05621109646197854;-0.0007272727272727986;0.013718660287081352;0.012422966507177032;0.0561370684649749;-0.20993807645220203;0.2347840094665561;No;-0.0012956937799043205
2208;SVM_noSexInf_FAIR;137;0.95;0.65;0.65;0.00;0.00;0.8149663636363637;0.8141945454545455;0.012977083881872856;0.0007718181818181513;0.8151234449760766;0.8140172248803826;0.012784912250571283;0.0011062200956939439;0.8119818181818181;0.8175636363636364;0.052401964547067484;-0.005581818181818243;0.0031416267942584453;-0.0035464114832535875;0.05112932427410406;-0.2060715910531761;0.19897876808666895;No;-0.006688038277512033
2209;SVM_noSexInf_FAIR;138;0.95;0.65;0.80;0.15;-0.15;0.81721;0.8165254545454546;0.013354569402560374;0.0006845454545454377;0.8150966507177033;0.814509090909091;0.013789719772263336;0.000587559808612359;0.8573636363636363;0.8548363636363636;0.050709632212617456;0.0025272727272727114;-0.04226698564593301;-0.040327272727272725;0.0524910757040143;-0.24824640101033812;0.1675918555557927;No;0.001939712918660283
2210;SVM_noSexInf_FAIR;139;0.95;0.65;0.95;0.30;-0.30;0.8208943011823103;0.8201981818181818;0.011940761355623225;0.0006961193641285002;0.8150746411483254;0.8142468899521532;0.013013809401823256;0.0008277511961721773;0.9315382516146639;0.9332727272727271;0.032377247259293335;-0.0017344756580632836;-0.11646361046633846;-0.11902583732057417;0.03858655305513875;-0.2718686275867136;0.03381695294556522;No;-0.0025622268542357107
2211;SVM_noSexInf_FAIR;140;0.95;0.80;0.35;-0.45;0.15;0.8488409090909091;0.8456854545454544;0.012875088811575048;0.003155454545454739;0.8507473684210526;0.8474066985645933;0.013403481120278357;0.0033406698564593107;0.8126181818181818;0.8129818181818181;0.05415537617819205;-0.0003636363636363438;0.03812918660287079;0.03442488038277512;0.05648343350580166;-0.18930812755142196;0.2581578883169722;No;-0.0037043062200956683
2212;SVM_noSexInf_FAIR;141;0.95;0.80;0.50;-0.30;0.30;0.8483409090909091;0.8453927272727273;0.012529104253150838;0.0029481818181817943;0.8507971291866029;0.8478143540669856;0.012949868756570535;0.002982775119617309;0.8016727272727273;0.7993818181818182;0.05985090489174182;0.002290909090909121;0.04912440191387557;0.048432535885167466;0.06180482577027642;-0.19637870727363607;0.29324377904397103;No;-0.0006918660287081047
2213;SVM_noSexInf_FAIR;142;0.95;0.80;0.65;-0.15;0.15;0.8488627272727273;0.8462963636363636;0.012177698623529997;0.0025663636363636444;0.8508;0.8479291866028709;0.012074852357964981;0.002870813397129135;0.8120545454545455;0.8152727272727273;0.05383150347782631;-0.0032181818181817867;0.03874545454545453;0.03265645933014354;0.05333255173895739;-0.17859578722702643;0.24390870588731353;No;-0.006088995215310984
2214;SVM_noSexInf_FAIR;143;0.95;0.80;0.80;0.00;0.00;0.8511227272727273;0.847261818181818;0.013220581885640782;0.0038609090909093036;0.8507875598086124;0.8467598086124403;0.012821262829828062;0.004027751196172158;0.8574909090909091;0.8568;0.04960991733510908;0.0006909090909090754;-0.006703349282296656;-0.01004019138755981;0.046890454876252485;-0.19577504958786976;0.17569466681275012;No;-0.0033368421052631537
2215;SVM_noSexInf_FAIR;144;0.95;0.80;0.95;0.15;-0.15;0.8548562908819826;0.8520945454545454;0.012434827085906758;0.0027617454274371234;0.8508181818181818;0.8478296650717703;0.012773734191143771;0.0029885167464115403;0.9316292185936506;0.9331272727272728;0.034207688046843834;-0.0014980541336222508;-0.08081103677546875;-0.08529760765550239;0.03521161361817848;-0.2247721356726886;0.054176920361683825;No;-0.0044865708800336385
2216;SVM_noSexInf_FAIR;145;0.95;0.95;0.50;-0.45;0.45;0.9236072727272727;0.9191090909090909;0.009348100587825287;0.004498181818181846;0.9300277511961722;0.9253952153110048;0.009795794158132313;0.0046325358851674325;0.8016181818181818;0.7996727272727273;0.05513918621032063;0.0019454545454544725;0.12840956937799042;0.12572248803827749;0.057269301453432404;-0.1011233724413379;0.35256834851789287;No;-0.0026870813397129323
2217;SVM_noSexInf_FAIR;146;0.95;0.95;0.65;-0.30;0.30;0.9241236363636364;0.9199509090909092;0.009384488475370503;0.004172727272727217;0.9300086124401914;0.9253473684210526;0.009455716405229459;0.0046612440191388105;0.8123090909090909;0.8174181818181819;0.05900100055003263;-0.005109090909091063;0.11769952153110053;0.1079291866028708;0.059987248373072934;-0.12968256401467682;0.3455409372204184;No;-0.00977033492822972
2218;SVM_noSexInf_FAIR;147;0.95;0.95;0.80;-0.15;0.15;0.9263454545454546;0.9212490909090909;0.008840921016384546;0.005096363636363677;0.929978947368421;0.9249033492822967;0.009293739248223446;0.005075598086124344;0.8573090909090909;0.8518181818181818;0.048383369957987345;0.005490909090909102;0.0726698564593301;0.07308516746411484;0.050459061000482364;-0.12678507402914488;0.2729554089573746;No;0.0004153110047847297
2219;SVM_noSexInf_FAIR;148;0.95;0.95;0.95;0.00;0.00;0.9300560199133427;0.9252200000000002;0.008942477580756421;0.004836019913342593;0.9299741626794258;0.9250086124401915;0.009165498016921085;0.004965550239234284;0.9316122694029036;0.9292363636363636;0.03260067139583957;0.0023759057665400096;-0.0016381067234778612;-0.004227751196172249;0.033396602315022644;-0.13651295106729397;0.12805744867494948;No;-0.0025896444726943874
2220;NB_FAIR;1;0.50;0.05;0.05;0.00;0.00;0.9293290909090909;0.9210527272727274;0.00940114620275019;0.008276363636363526;0.92894;0.920858181818182;0.013357010274165004;0.008081818181817968;0.9297181818181818;0.9212472727272727;0.012859643805890312;0.008470909090909085;-0.000778181818181789;-0.00038909090909090935;0.01827660047314895;-0.07278339389085241;0.07200521207267059;No;0.00038909090909087965
2221;NB_FAIR;2;0.50;0.05;0.20;0.15;0.15;0.8890627272727273;0.8825818181818182;0.010065886607295248;0.006480909090909037;0.9289527272727273;0.9200363636363637;0.013550100835580996;0.008916363636363611;0.8491727272727273;0.8451272727272727;0.01672258874497304;0.004045454545454574;0.07977999999999996;0.0749090909090909;0.02283007054768165;-0.015521678574107911;0.1653398603922897;No;-0.004870909090909065
2222;NB_FAIR;3;0.50;0.05;0.35;0.30;0.30;0.8712445454545454;0.8652090909090909;0.010775144655244656;0.0060354545454545105;0.9288945454545454;0.9204618181818183;0.014699336328265701;0.008432727272727147;0.8135945454545455;0.8099563636363636;0.017641179301665217;0.0036381818181818737;0.11529999999999996;0.11050545454545455;0.02429297062782071;0.014280082735131427;0.20673082635577766;Yes;-0.0047945454545454125
2223;NB_FAIR;4;0.50;0.05;0.50;0.45;0.45;0.8656436363636364;0.8618054545454544;0.013065909956089023;0.0038381818181819627;0.9289672727272728;0.92088;0.014668534406659172;0.00808727272727272;0.80232;0.8027309090909092;0.019174501821930715;-0.0004109090909091284;0.12664727272727272;0.11814909090909091;0.021972319668042216;0.031115904972937328;0.20518227684524448;Yes;-0.008498181818181808
2224;NB_FAIR;5;0.50;0.20;0.05;-0.15;-0.15;0.8893854545454546;0.88406;0.009464825111421753;0.005325454545454633;0.8490709090909091;0.8468945454545455;0.015027835959250724;0.002176363636363643;0.9297;0.9212254545454546;0.01204923442960008;0.008474545454545401;-0.08062909090909087;-0.0743309090909091;0.019588469831919468;-0.1519215760228948;0.0032597578410765993;No;0.006298181818181772
2225;NB_FAIR;6;0.50;0.20;0.20;0.00;0.00;0.8490954545454545;0.845510909090909;0.01240875143214068;0.0035845454545455624;0.8490145454545455;0.8465163636363635;0.015424848824279067;0.002498181818181955;0.8491763636363636;0.8445054545454544;0.016646735822535574;0.00467090909090917;-0.00016181818181815188;0.0020109090909090905;0.020351194097047262;-0.07860093738824266;0.08262275557006084;No;0.0021727272727272424
2226;NB_FAIR;7;0.50;0.20;0.35;0.15;0.15;0.8313118181818182;0.8280709090909091;0.01261610808224566;0.0032409090909091276;0.8490363636363636;0.8467781818181819;0.014127892174967273;0.002258181818181715;0.8135872727272727;0.8093636363636363;0.018728492107622226;0.004223636363636429;0.035449090909090875;0.03741454545454545;0.02154165210223958;-0.04791275002955504;0.12274184093864594;No;0.0019654545454545758
2227;NB_FAIR;8;0.50;0.20;0.50;0.30;0.30;0.8256663636363636;0.8249527272727273;0.012488739620984495;0.0007136363636363052;0.849;0.8484836363636362;0.014886782974694432;0.0005163636363637591;0.8023327272727273;0.8014218181818182;0.0193144876200527;0.0009109090909090733;0.04666727272727267;0.047061818181818184;0.02377933997062679;-0.04712904324610386;0.14125267960974022;No;0.00039454545454551543
2228;NB_FAIR;9;0.50;0.20;0.65;0.45;0.15;0.8319563636363636;0.8292181818181819;0.01073066679209393;0.0027381818181817508;0.8490654545454546;0.8465309090909091;0.013580561388388151;0.002534545454545456;0.8148472727272728;0.8119054545454546;0.015676318596190206;0.0029418181818181566;0.034218181818181814;0.03462545454545455;0.019994208798906926;-0.0445723597195787;0.1138232688104878;No;0.0004072727272727353
2229;NB_FAIR;10;0.50;0.35;0.05;-0.30;-0.30;0.8728518181818182;0.8692745454545454;0.011011464768612273;0.0035772727272728178;0.8160454545454545;0.8169890909090908;0.018301956983034395;-0.0009436363636362577;0.9296581818181818;0.9215600000000002;0.011533235414474246;0.008098181818181671;-0.11361272727272731;-0.10457090909090909;0.021235462596032484;-0.18868537640629418;-0.020456441775523998;Yes;0.00904181818181822
2230;NB_FAIR;11;0.50;0.35;0.20;-0.15;-0.15;0.8326190909090909;0.8305181818181817;0.012447728096219407;0.0021009090909092087;0.8160927272727273;0.8167272727272729;0.017100000048418197;-0.0006345454545455542;0.8491454545454545;0.8443090909090909;0.016097124076791886;0.004836363636363639;-0.033052727272727234;-0.027581818181818183;0.021983427197992404;-0.11465900146254218;0.05949536509890582;No;0.005470909090909051
2231;NB_FAIR;12;0.50;0.35;0.35;0.00;0.00;0.8147736363636363;0.8126909090909091;0.013725745592434035;0.0020827272727271806;0.81606;0.8163490909090908;0.018199710487571717;-0.0002890909090907945;0.8134872727272727;0.8090327272727273;0.01916268245161706;0.004454545454545378;0.002572727272727282;0.0073163636363636365;0.025363188933432486;-0.0931481831992555;0.10778091047198277;No;0.004743636363636354
2232;NB_FAIR;13;0.50;0.35;0.50;0.15;0.15;0.8092263636363637;0.8098236363636364;0.011706325468289808;-0.0005972727272727241;0.8161018181818182;0.8167054545454545;0.01723756031683241;-0.0006036363636363618;0.8023509090909091;0.8029418181818182;0.017540384741229084;-0.0005909090909090864;0.013750909090909036;0.013763636363636363;0.025718571912441656;-0.08810859583966088;0.11563586856693361;No;1.2727272727327404e-05
